id,bulletin_date,table_type,category,country,priority_date,is_current,is_unavailable,scraped_at
438.0,2026-06-01,Final_Action,5th Rural,India,CURRENT,1,0,2026-06-22 19:08:28
439.0,2026-06-01,Final_Action,5th Rural,Mexico,CURRENT,1,0,2026-06-22 19:08:28
440.0,2026-06-01,Final_Action,5th Rural,Philippines,CURRENT,1,0,2026-06-22 19:08:28
431.0,2026-06-01,Final_Action,5th Unreserved,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:28
432.0,2026-06-01,Final_Action,5th Unreserved,China,2016-09-22,0,0,2026-06-22 19:08:28
433.0,2026-06-01,Final_Action,5th Unreserved,India,2022-05-01,0,0,2026-06-22 19:08:28
434.0,2026-06-01,Final_Action,5th Unreserved,Mexico,CURRENT,1,0,2026-06-22 19:08:28
435.0,2026-06-01,Final_Action,5th Unreserved,Philippines,CURRENT,1,0,2026-06-22 19:08:28
426.0,2026-06-01,Final_Action,Certain Religious Workers,All_Chargeability_Areas,2022-07-15,0,0,2026-06-22 19:08:28
427.0,2026-06-01,Final_Action,Certain Religious Workers,China,2022-07-15,0,0,2026-06-22 19:08:28
428.0,2026-06-01,Final_Action,Certain Religious Workers,India,2022-07-15,0,0,2026-06-22 19:08:28
429.0,2026-06-01,Final_Action,Certain Religious Workers,Mexico,2022-07-15,0,0,2026-06-22 19:08:28
430.0,2026-06-01,Final_Action,Certain Religious Workers,Philippines,2022-07-15,0,0,2026-06-22 19:08:28
416.0,2026-06-01,Final_Action,Other Workers,All_Chargeability_Areas,2022-02-01,0,0,2026-06-22 19:08:28
417.0,2026-06-01,Final_Action,Other Workers,China,2019-04-01,0,0,2026-06-22 19:08:28
418.0,2026-06-01,Final_Action,Other Workers,India,2013-12-15,0,0,2026-06-22 19:08:28
419.0,2026-06-01,Final_Action,Other Workers,Mexico,2022-02-01,0,0,2026-06-22 19:08:28
420.0,2026-06-01,Final_Action,Other Workers,Philippines,2021-11-01,0,0,2026-06-22 19:08:28
251.0,2026-05-01,Dates_for_Filing,1st,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:25
252.0,2026-05-01,Dates_for_Filing,1st,China,2023-12-01,0,0,2026-06-22 19:08:25
253.0,2026-05-01,Dates_for_Filing,1st,India,2023-12-01,0,0,2026-06-22 19:08:25
254.0,2026-05-01,Dates_for_Filing,1st,Mexico,CURRENT,1,0,2026-06-22 19:08:25
255.0,2026-05-01,Dates_for_Filing,1st,Philippines,CURRENT,1,0,2026-06-22 19:08:25
256.0,2026-05-01,Dates_for_Filing,2nd,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:25
257.0,2026-05-01,Dates_for_Filing,2nd,China,2022-01-01,0,0,2026-06-22 19:08:25
258.0,2026-05-01,Dates_for_Filing,2nd,India,2015-01-15,0,0,2026-06-22 19:08:25
259.0,2026-05-01,Dates_for_Filing,2nd,Mexico,CURRENT,1,0,2026-06-22 19:08:25
260.0,2026-05-01,Dates_for_Filing,2nd,Philippines,CURRENT,1,0,2026-06-22 19:08:25
261.0,2026-05-01,Dates_for_Filing,3rd,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:25
262.0,2026-05-01,Dates_for_Filing,3rd,China,2022-01-01,0,0,2026-06-22 19:08:25
263.0,2026-05-01,Dates_for_Filing,3rd,India,2015-01-15,0,0,2026-06-22 19:08:25
264.0,2026-05-01,Dates_for_Filing,3rd,Mexico,CURRENT,1,0,2026-06-22 19:08:25
265.0,2026-05-01,Dates_for_Filing,3rd,Philippines,2024-01-01,0,0,2026-06-22 19:08:25
271.0,2026-05-01,Dates_for_Filing,4th,All_Chargeability_Areas,2023-01-01,0,0,2026-06-22 19:08:25
272.0,2026-05-01,Dates_for_Filing,4th,China,2023-01-01,0,0,2026-06-22 19:08:25
273.0,2026-05-01,Dates_for_Filing,4th,India,2023-01-01,0,0,2026-06-22 19:08:25
274.0,2026-05-01,Dates_for_Filing,4th,Mexico,2023-01-01,0,0,2026-06-22 19:08:25
275.0,2026-05-01,Dates_for_Filing,4th,Philippines,2023-01-01,0,0,2026-06-22 19:08:25
291.0,2026-05-01,Dates_for_Filing,5th High Unemployment,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:25
